Id	P1	P2	MS	Weight	UC	No.(+/+)	No.(-/-)	No.(+/-)	No.(?)	QTL1	QTL2	QTL3	QTL4	QTL5	QTL6	QTL7	QTL8	QTL9	QTL10	QTL11
B158xB40	B158	B40	0.771405	0.652728	9.485457	7	1	1	2	0.000000	0.928339	0.665061	0.949809	0.735271	0.946227	0.985953	0.982062	0.905860	0.487517	0.899358
B242xB124	B242	B124	0.726392	0.651658	9.108346	6	0	0	5	0.240617	0.697844	0.925883	0.915434	0.284177	0.966827	0.989159	0.249302	0.837025	0.955176	0.928869
B242xB125	B242	B125	0.716851	0.643584	8.885356	6	0	0	5	0.240617	0.689736	0.925883	0.915434	0.147691	0.966944	0.989159	0.249328	0.837025	0.950225	0.973316
B28xB124	B28	B124	0.748170	0.670085	9.347903	4	0	0	7	0.240617	0.820692	0.724821	0.946055	0.596200	0.940654	0.986030	0.394002	0.755379	0.955095	0.870327
B28xB125	B28	B125	0.738629	0.662011	9.124913	5	0	0	6	0.240617	0.812584	0.724821	0.946055	0.459714	0.940770	0.986030	0.394027	0.755379	0.950144	0.914774
B28xB13	B28	B13	0.767454	0.649385	9.442000	5	1	0	5	0.000000	0.927999	0.724826	0.933515	0.943395	0.708081	0.984623	0.808524	0.760169	0.726376	0.924493
B28xB242	B28	B242	0.752256	0.636524	9.274817	5	1	0	5	0.000000	0.848716	0.694850	0.918553	0.601636	0.946068	0.982830	0.642870	0.770051	0.954796	0.914447
B28xB37	B28	B37	0.758687	0.641966	9.211589	6	1	0	4	0.000000	0.962207	0.363597	0.933163	0.893559	0.945860	0.982826	0.857771	0.770965	0.721830	0.913786
B28xB38	B28	B38	0.761719	0.644532	9.496948	5	1	1	4	0.000000	0.953251	0.492239	0.946014	0.747910	0.922949	0.982826	0.857771	0.770965	0.965707	0.739282
B28xB40	B28	B40	0.757203	0.640710	9.447270	6	1	0	4	0.000000	0.974518	0.465714	0.954170	0.705538	0.921512	0.977780	0.879236	0.821370	0.726317	0.903082
B37xB124	B37	B124	0.732824	0.657099	9.061059	4	0	0	7	0.240617	0.811335	0.594630	0.930043	0.576100	0.966620	0.989154	0.464204	0.837940	0.722210	0.928208
B37xB125	B37	B125	0.723282	0.649026	8.822128	4	0	0	7	0.240617	0.803227	0.594630	0.930043	0.439614	0.966736	0.989154	0.464230	0.837940	0.717259	0.972654
B37xB242	B37	B242	0.736909	0.623539	8.972032	4	1	0	6	0.000000	0.839359	0.564659	0.902542	0.581536	0.972035	0.985955	0.713072	0.852612	0.721911	0.972328
B37xB40	B37	B40	0.741857	0.627725	9.160426	7	1	1	2	0.000000	0.965161	0.335523	0.938158	0.685438	0.947479	0.980905	0.949438	0.903930	0.493432	0.960962
B38xB124	B38	B124	0.735855	0.659665	9.319154	4	0	0	7	0.240617	0.802379	0.723271	0.942894	0.430451	0.943709	0.989154	0.464204	0.837940	0.966087	0.753704
B38xB125	B38	B125	0.726314	0.651591	9.107487	4	0	0	7	0.240617	0.794272	0.723271	0.942894	0.293965	0.943825	0.989154	0.464230	0.837940	0.961135	0.798150
B38xB242	B38	B242	0.739942	0.626105	9.257391	4	1	0	6	0.000000	0.830403	0.693300	0.915393	0.435887	0.949124	0.985955	0.713072	0.852612	0.965788	0.797824
B38xB37	B38	B37	0.746373	0.631547	9.210104	5	1	0	5	0.000000	0.943894	0.362047	0.930002	0.727810	0.948916	0.985951	0.927973	0.853526	0.732822	0.797162
B38xB40	B38	B40	0.744889	0.630291	9.418521	6	1	0	4	0.000000	0.956206	0.464164	0.951009	0.539789	0.924568	0.980905	0.949438	0.903930	0.737308	0.786458
B40xB124	B40	B124	0.731339	0.655844	9.269476	5	0	0	6	0.240617	0.823646	0.696747	0.951050	0.388078	0.942272	0.984109	0.485668	0.888343	0.726697	0.917504
B40xB125	B40	B125	0.721798	0.647770	9.057809	5	0	0	6	0.240617	0.815538	0.696747	0.951050	0.251592	0.942389	0.984109	0.485694	0.888343	0.721745	0.961950
B40xB242	B40	B242	0.735425	0.622283	9.207713	5	1	0	5	0.000000	0.851670	0.666776	0.923549	0.393514	0.947687	0.980909	0.734537	0.903015	0.726398	0.961624
B8xB124	B8	B124	0.779475	0.696574	9.440255	6	0	0	5	0.240617	0.764816	0.965966	0.909044	0.587325	0.967942	0.994201	0.464750	0.787932	0.956449	0.935190
B8xB125	B8	B125	0.769934	0.688500	9.176380	6	0	0	5	0.240617	0.756708	0.965966	0.909044	0.450840	0.968058	0.994201	0.464776	0.787932	0.951496	0.979637
B8xB13	B8	B13	0.798760	0.675874	9.493468	7	1	0	3	0.000000	0.872124	0.965970	0.896504	0.934520	0.735369	0.992795	0.879272	0.792722	0.727729	0.989356
B8xB158	B8	B158	0.819541	0.693458	9.514956	7	1	0	3	0.000000	0.869509	0.934279	0.907803	0.934519	0.971896	0.996045	0.961143	0.805449	0.717268	0.917045
B8xB242	B8	B242	0.783562	0.663013	9.326284	6	1	0	4	0.000000	0.792840	0.935995	0.881542	0.592761	0.973356	0.991002	0.713618	0.802604	0.956149	0.979310
B8xB28	B8	B28	0.805339	0.681441	9.565841	7	1	0	3	0.000000	0.915688	0.734932	0.912163	0.904784	0.947182	0.987873	0.858317	0.720959	0.956068	0.920768
B8xB37	B8	B37	0.789993	0.668455	9.189925	7	1	0	3	0.000000	0.906331	0.604742	0.896151	0.884684	0.973148	0.990998	0.928519	0.803519	0.723183	0.978649
B8xB38	B8	B38	0.793025	0.671021	9.589300	6	1	0	4	0.000000	0.897375	0.733383	0.909003	0.739036	0.950237	0.990998	0.928519	0.803519	0.967059	0.804145
B8xB40	B8	B40	0.788509	0.667199	9.539622	6	1	0	4	0.000000	0.918642	0.706858	0.917158	0.696663	0.948800	0.985953	0.949984	0.853923	0.727670	0.967945
--
Method: complete (half-diallel)
List: List4_Complementation_Selection
Criterion: no
